Chemical name	Distance (lower = more similar)
4-(Difluoromethanesulfonyl)benzaldehyde	11
1,3,5-Tris(trifluoromethanesulfonyl)benzene	11
3-(Trifluoromethanesulfonyl)prop-1-ene	11
1-(Trifluoromethanesulfonyl)-3-(trifluoromethyl)benzene	11
8-Bromonaphthalene-1-sulfonic acid	11
4-Bromonaphthalene-1-sulfonic acid	11
((Difluoromethyl)sulfonyl)benzene	11
Methanesulfonic acid, trifluoro-, 1-phenylethenyl ester	11
Dimethylsilanediyl bis(trifluoromethanesulfonate)	11
Benzoyl Trifluoromethanesulfonate	11
TRIFLUOROMETHYLSULFINYLCHLORIDE	11
3-Ethylbenzene-1-sulfonic acid	11
Methanesulfonic acid, trifluoro-, triphenylmethyl ester	11
Pentaammine(trifluoromethanesulfonato)osmium(III) triflate	11
2-bromoethyl trifluoromethanesulfonate	11
1,1,2,2-TETRAFLUORO-2-[(1,1,2,2-TETRAFLUORO-3-BUTENYL)OXY]-ETHANESULFONYL FLUORIDE	11
Methane, trifluoro[(iodomethyl)sulfonyl]-	11
Methanesulfonic acid, trifluoro-, 3-butenyl ester	11
3-(Trifluoromethyl)phenyl trifluoromethanesulfonate	11
4-(Trifluoromethyl)phenyl trifluoromethanesulfonate	11
6-chloronaphthalene-2-sulfonic Acid	11
5-bromothiophene-2-sulfonic Acid	11
1,1-Ethanedisulfonic acid, 1-hydroxy-	11
5-bromonaphthalene-2-sulfonic Acid	11
Azulenesulfonic acid	11
Anthracene-9-sulfonic Acid	11
Dithionite, hydrogen	11
Potassium thiosulfate hydrate	11
Benzenesulfonic acid, 4-(diphenylphosphino)-	11
4-(2-chloroethyl)benzenesulfonic Acid	11
Anthracene-1-sulfonic Acid	11
4-BROMO-4'-SULFOBIPHENYL	11
4-(trifluoromethylsulfonyl)benzaldehyde	11
9,10-dibromoanthracene-2-sulfonic Acid	11
Trifluoroethenyl sulfurochloridate	11
Trimethylsilyl nonafluorobutanesulfonate	11
Diphenyliodonium trifluoromethanesulfonate	11
methanesulfonic acid, trifluoro-, 2-methylpropyl ester	11
2,2,2-Trifluoroethyl methanesulfonate	11
Di-tert-butylsilanediyl bis(trifluoromethanesulfonate)	11
Phenyl trifluoromethanesulfonate	11
1,1,1,2,2,3,3,4,4-Nonafluoro-4-[(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methanesulfonyl]butane	11
Phenyl nonafluorobutane-1-sulfonate	11
s-(trichloromethyl) methanesulfonothioate	11
4-chloronaphthalene-1-sulfonic acid	11
thiophene-2-sulfonic acid	11
3-(diphenylphosphanyl)benzene-1-sulfonic acid	11
Methyl chlorosulphate	11
NSC 314043	11
3-Phenylsulphonylbenzenesulphonic acid	11
4-Chlorotoluene-3-sulphonic acid	11
4-Chloromercuribenzenesulfonate	11
Sulfoacetaldehyde	11
1-Pyrenesulfonic acid	11
2-Bromoethanesulfonic acid	11
Peroxymonosulfate	11
m-Cumenesulfonic acid	11
Aluminum sulfate [USP]	11
Sulfuric acid, aluminium salt (3:2), hexadecahydrate	11
2-Chloroethanesulphonic acid	11
Disulfate ion	11
3-Fluoropropanesulfonate	11
Anhydrite (Ca(SO4))	11
2-Anthracenesulfonic acid	11
Iron hydroxide sulfate (Fe(OH)(SO4))	11
Lithium sulfate monohydrate	11
Thiosulfuric acid, disodium salt, monohydrate	11
Sodium bisulfate monohydrate	11
Benzenesulfonic acid, 4-(2-bromoethyl)-	11
Methanesulfonic acid, trifluoro-, trimethylsilyl ester	11
Sulfurous acid, potassium salt (1:1)	11
Cyclohexanesulfonic acid, undecafluoro-, potassium salt	11
[1,1'-Biphenyl]-4-sulfonic acid	11
Methane, bis[(trifluoromethyl)sulfonyl]-	11
Copper sulfate (CuSO4) monohydrate	11
Benzenesulfonic acid, 3-chloro-4-methyl-	11
Benzenemethanesulfonic acid	11
Zirconium(IV) sulfate hydrate	11
Ammonium bisulfate	11
Naphthalene-1-sulfonic acid	11
4-Ethylbenzenesulfonic acid	11
Naphthalene-2-sulfonic acid	11
2-Methylbenzenesulfonic acid	11
4-(Propan-2-yl)benzenesulfonic acid	11
Benzensulfonate	11
Sodium thiosulfate	11
Vanadyl sulfate hydrate	11
Ferrous sulfate monohydrate	11
Sodium bisulfite	11
Calcium thiosulfate	11
Zinc sulfate monohydrate	11
Sulfuryl chloride	11
Magnesium sulfate monohydrate	11
Methyl methanesulfonate	11
Manganese(II) sulfate monohydrate	11
4,4'-[(5-Sulfo-1,3-phenylene)bis(sulfonyl-4,1-phenylenesulfonyl)]di(benzene-1-sulfonic acid)	12
2,2-Dicyanoethenyl trifluoromethanesulfonate	12
(Dioxo-lambda~6~-sulfanylidene)methanethiol	12
Hexa-2,4-diene-1,6-disulfonic acid	12
Propan-2-yl trifluoromethanesulfinate	12
[1-(Trifluoromethanesulfonyl)prop-1-en-1-yl]benzene	12
3-(Trifluoromethanesulfonyl)cyclohex-1-ene	12
PUBCHEM_71381609	12
1-(Trimethylsilyl)ethyl trifluoromethanesulfonate	12
PUBCHEM_71376807	12
Sulfuric acid--2,2,3,3,3-pentafluoropropan-1-ol (1/2)	12
1,1'-[1-(Trifluoromethanesulfonyl)ethane-1,2-diyl]dibenzene	12
1,1'-[2-(Trifluoromethanesulfonyl)propane-1,3-diyl]dibenzene	12
Sulfurofluoridic acid--pyridine (1/1)	12
PUBCHEM_71348694	12
PUBCHEM_71346451	12
PUBCHEM_71340477	12
Bis(4-fluorophenyl)iodanium hydrogen sulfate	12
Difluoro[(trifluoroethenyl)oxy]methanesulfonyl fluoride	12
Dichloro{bis[(chlorosulfonyl)oxy]}stannane	12
3a,4,5,6,7,7a-Hexahydro-1H-4,7-methanoindene-1-sulfonic acid	12
Lanthanum sulfate--water (2/3/9)	12
Scandium sulfate--water (2/3/5)	12
Thulium sulfate--water (2/3/8)	12
Lanthanum sulfate--water (2/3/8)	12
Cerium(3+) sulfate--water (2/3/5)	12
Indium sulfate--water (2/3/5)	12
PUBCHEM_57347225	12
Holmium sulfate--water (2/3/8)	12
PUBCHEM_57348705	12
Prop-1-yne-1-sulfonyl chloride	12
PUBCHEM_54604919	12
4-Methylbenzene-1-sulfonic acid--lead (1/1)	12
4-Methylbenzene-1-sulfonic acid--mercury (1/1)	12
Ethenyl(dimethyl)silyl trifluoromethanesulfonate	12
3-(Chlorocarbonyl)benzene-1-sulfinic acid	12
Erbium sulfate--water (2/3/8)	12
Neodymium sulfate--water (2/3/8)	12
Praseodymium sulfate--water (2/3/8)	12
Europium(3+) sulfate--water (2/3/8)	12
[Chloro(difluoro)methanesulfonyl]benzene	12
7-Methylnaphthalene-1-sulfonic acid	12
Sodium propane-2-sulfonate--water (1/1/1)	12
1-[(Trifluoromethanesulfonyl)methyl]-3,5-bis(trifluoromethyl)benzene	12
3-Chloropropane-1,1-disulfonic acid	12
2,4-Dichloro-3-formylbenzene-1-sulfonic acid	12
Vanadium(2+) sulfate--water (1/1/7)	12
2,3-Diformylbenzene-1-sulfonic acid	12
Magnesium sulfate--water (1/1/6)	12
4-(2-Phenylethyl)benzene-1-sulfonic acid	12
Magnesium sulfate--water (1/1/3)	12
Palladium(2+) sulfate--water (1/1/2)	12
Trifluoromethane-SO-thioperoxol	12
5-Methylnaphthalene-1-sulfonic acid	12
8-Methylnaphthalene-2-sulfonic acid	12
1,1,6,6-Tetrabromo-1,6-bis(tribromomethanesulfonyl)hexane	12
2,4,6-Trichlorobenzene-1,3-disulfonic acid	12
2,5-Dichlorobenzene-1,3-disulfonic acid	12
4,6-Dichlorobenzene-1,3-disulfonic acid	12
(Dioxo-lambda~6~-sulfanylidene)methanol	12
4-Chlorobenzene-1,3-disulfonic acid	12
1,1'-(Peroxydisulfonyl)di(ethan-1-one)	12
4-Methylbenzene-1-sulfonoperoxoic acid	12
But-3-ene-1,2-disulfonic acid	12
Cyclopentyl trifluoromethanesulfonate	12
(Naphthalen-1-yl)(diphenyl)sulfanium trifluoromethanesulfonate	12
(4-Methylphenyl)(diphenyl)sulfanium trifluoromethanesulfonate	12
(4-Fluorophenyl)(diphenyl)sulfanium trifluoromethanesulfonate	12
Dysprosium sulfate--water (2/3/8)	12
Cerium(4+) sulfate--sulfuric acid--water (1/2/1/1)	12
Gadolinium sulfate--water (2/3/8)	12
Terbium(3+) sulfate--water (2/3/8)	12
Pentane-2-sulfonic acid	12
1,1'-(Peroxydisulfonyl)bis[3-(trifluoromethyl)benzene]	12
3-(Fluorosulfonyl)benzoyl fluoride	12
Methyl(diphenyl)silyl trifluoromethanesulfonate	12
1-[(Trifluoromethanesulfonyl)methyl]-4-(trifluoromethyl)benzene	12
3-Phosphonobenzene-1-sulfonic acid	12
1,1,2,2-Tetrafluoro-2-{[1,1,1,2,3,3-hexafluoro-3-(pentafluoroethoxy)propan-2-yl]oxy}ethane-1-sulfonyl fluoride	12
{[(Methanesulfonyl)peroxy]sulfonyl}methane	12
Benzene-1,2,3-trisulfonic acid	12
1-Oxo-1-phenylpropan-2-yl trifluoromethanesulfonate	12
[(Trifluoromethanesulfonyl)ethynyl]cyclohexane	12
1,1,1-Trifluoropropan-2-yl 4-methylbenzene-1-sulfonate	12
3-(Trifluoromethyl)benzene-1-sulfonyl fluoride	12
2,2-Difluoropropane-1,3-disulfonyl difluoride	12
3-Chloro-1,1,3,3-tetrafluoro-2-oxopropyl sulfurofluoridate	12
1-Bromoethene-1-sulfonyl fluoride	12
Dipotassium 1,1,2,2,3,3,4,4-octafluoro-4-(1,1,2,2-tetrafluoro-2-sulfinatoethoxy)butane-1-sulfinate	12
1-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)pent-1-yne	12
Methanesulfonyl iodide	12
5-Methylthiophene-2-sulfonic acid	12
methyl vinylsulfonate	12
Benzene, [(difluoroiodomethyl)sulfonyl]-	12
2,2,2-TRICHLOROETHYL CHLOROSULFATE	12
Methane-d3-sulfonyl chloride	12
Ethenesulfinic Acid	12
Acetic acid, difluoro[1,1,2,2-tetrafluoro-2-(fluorosulfonyl)ethoxy]-	12
Methanesulfonic acid, trifluoro-, 1,5-cyclohexadien-1-yl ester	12
Dicyclohexyl(trifluoromethanesulfonyloxy)borane	12
propyl triflate	12
4'-Methyl[1,1'-biphenyl]-4-sulfonic acid	12
Methanesulfonic acid, trifluoro-, 4-pentenyl ester	12
Methanesulfonothioic acid, trifluoro-, S-phenyl ester	12
2-(TRIFLUOROMETHOXY)ETHYL TRIFLUOROMETHANESULFONATE	12
6-methylnaphthalene-2-sulfonic Acid	12
Ethenesulfonyl fluoride, 2-phenyl-	12
Cesium methanesulfonate	12
TDS triflate	12
1-fluoro-4-(trifluoromethylsulfonyl)benzene	12
3,3,3-trifluoro-1-(phenylsulphonyl)prop-1-ene	12
Cyclopropanesulfonyl chloride	12
bis(2,2,3,3,4,4,5,5-octafluoropentyl) sulfate	12
1-(difluoromethylsulfonyl)-4-methylbenzene	12
1-methyl-4-(trifluoromethylsulfonyl)benzene	12
Methanesulfonic acid, trifluoro-, 3-methylphenyl ester	12
p-Tolyl triflate	12
m-Fluorophenyl trifluoromethanesulfonate	12
Methyl 2-propanesulfonate	12
9,10-diphenylanthracene-2-sulfonic Acid	12
4-Methylpent-3-en-1-yn-3-yl trifluoromethanesulfonate	12
3-Methylbut-2-en-2-yl trifluoromethanesulfonate	12
bis(2,2,2-trifluoroethyl) sulfite	12
NSC227857	12
Bromo[di(methanesulfonyl)]methane	12
2,2,2-trifluoroethyl benzenesulfonate	12
4-formylbenzenesulfonyl fluoride	12
3-Bromo-2,4-dimethylbenzene-1-sulfonic acid	12
Methanesulfonyl bromide	12
2,6-dimethylbenzenesulfonic Acid	12
dithionous acid	12
Disilver tetrasodium tris(thiosulphate)	12
5-Chloro-2-formylbenzenesulphonic acid	12
Zinc sulfate, dihydrate	12
Sodium sulfate [USP]	12
Sulfuric acid, zirconium(4+) salt (2:1), tetrahydrate	12
Sulfuric acid, yttrium(3+) salt (3:2), octahydrate	12
Antimony sulfate	12
Isopropyl hydrogen sulphate	12
4,4'-Thiodibenzenesulfonic acid	12
tert-Butyldimethylsilyl trifluoromethanesulphonate	12
Platinum (II) sulfate, tetrahydrate	12
Rozenite (Fe(SO4).4H2O)	12
Methane, dichloro((chloromethyl)sulfonyl)-	12
Sulfuric acid, aluminum salt, hydrate	12
Thiosulfuric acid (H2S2O3), Silver(1+) sodium salt (2:1:3)	12
Platinum(II) sulfate	12
1,1,2-Ethanetrisulfonic acid	12
Cyclohexylidenemethyl trifluoromethanesulfonate	12
Sulfuric acid, scandium(3+) salt (3:2), octahydrate	12
Nickel sulfate (Ni(HSO4)2)	12
Sulfuric acid, zinc salt (1:1), mixt. with sulfuric acid copper(2+) salt (1:1)	12
Bismuth sulfate	12
Ferric sulfate heptahydrate	12
Methane, dichlorobis(methylsulfonyl)-	12
Benzene-m-disulphonate	12
Calcium tetrathionate	12
Silver sulfate	12
Aluminum sulfate tetradecahydrate	12
Methanesulfinic acid	12
2,2,2-Trifluoroethanesulfonyl chloride	12
Chromous sulfate pentahydrate	12
Chromium(III) sulfate, hexahydrate (2:3:6)	12
Lithium potassium sulphate	12
Triammonium hydrogen disulphate	12
Sulfuric acid, manganese(2+) salt (1:1), heptahydrate	12
Sulfur tetrafluoride oxide	12
Iron(III) sulfate (2:3), hexahydrate	12
Chromous sulfate	12
Chromium sulfate octahydrate	12
Sodium tetrathionate, dihydrate (6CI,7CI)	12
Selenium sulfate	12
Magnesium thiosulfate hexahydrate	12
Aluminum(1+), (sulfato(2-)-kappaO)-	12
Cuprous sulfite hemihydrate	12
3-Iodopropyl-1-trifluoromethanesulfonate	12
3-Bromopropyl-1-trifluoromethanesulfonate	12
Isopropyl sulfonyl chloride	12
Sulfuric acid, dimercury(1+) salt	12
1-Propyne-1-sulfonic acid, sodium salt	12
Benzenesulfonic acid, ammonium salt	12
Mercuric sulfate	12
2-Propanesulfonic acid, 2-hydroxy-	12
Methanesulfonic acid, potassium salt	12
2-Propanesulfonic acid, sodium salt	12
Fluorosulfuric acid, ethyl ester	12
Benzenesulfonyl fluoride	12
Cyclohexanesulfonyl fluoride, undecafluoro-	12
Copper hydroxide sulfate (Cu4(OH)?6(SO4)?)	12
Zinc sulfate hexahydrate	12
Barium sulfate	12
Lithium sulfate	12
Ammonium bisulfite	12
3,4-Dimethylbenzenesulfonic acid	12
Calcium sulfate dihydrate	12
2-Formylbenzenesulfonic acid	12
2,4-Dimethylbenzenesulfonic acid	12
Potassium tetrathionate	12
Tosylate	12
Manganese sulfate (1:1)	12
Sodium thiosulfate, pentahydrate	12
4-Methylbenzenesulfonic acid hydrate	12
Magnesium sulfate	12
2,5-Dimethylbenzenesulfonic acid	12
Iron(II) sulfate heptahydrate	12
Zinc sulfate	12
Aluminum sulfate	12
Magnesium sufate heptahydrate	12
Nickel(II) sulfate heptahydrate	12
Zinc sulfate heptahydrate	12
Copper oxychloride sulfate	12
Copper sulfate	12
Potassium peroxymonosulfate	12
Ferric sulfate	12
Lead oxide sulfate	12
Tetralead trioxide sulfate	12
Potassium sulfate	12
Calcium sulfate	12
Cobalt sulfate	12
Iron(II) sulfate	12
Pentalead tetraoxide sulfate	12
Copper(II) sulfate, pentahydrate	12
Sodium ethenesulfonate	12
Ethanesulfonic acid, 1-hydroxy-, monosodium salt	12
Beryllium sulfate tetrahydrate	12
Nickel sulfate	12
Methanesulfonyl chloride	12
Sodium sulfate anyhdrous	12
Zirconium(IV) sulfate	12
Vanadyl sulfate	12
Nickel(II) sulfate hexahydrate	12
Beryllium sulfate	12
Cadmium sulfate (1:1) hydrate (3:8)	12
Cobalt sulfate heptahydrate	12
Cadmium sulfate (1:1)	12
[4,4-Bis(trifluoromethanesulfonyl)buta-1,3-dien-1-yl]benzene	13
Methanesulfonic acid--but-3-yn-2-ol (1/1)	13
1-[2-(Methanesulfonyl)ethenyl]-3,5-bis(trifluoromethyl)benzene	13
[(Dioxo-lambda~6~-sulfanylidene)methyl]phosphane	13
3-(Dioxo-lambda~6~-sulfanylidene)prop-1-yne	13
[(Dioxo-lambda~6~-sulfanylidene)methyl]silane	13
Sulfurofluoridic acid--1,3-diphenylprop-2-yn-1-one (1/1)	13
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]furan	13
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]thiophene	13
1-Methylcyclopropyl trifluoromethanesulfonate	13
1,5-Dimethyl-1,1,5,5-tetraoxo-1lambda~6~,5lambda~6~-pentasulfane	13
Methanesulfonic acid--(2S)-but-3-yn-2-ol (1/1)	13
Anthracene-1,6-disulfonic acid	13
Prop-2-en-1-yl trifluoromethanesulfinate	13
5-(Trifluoromethanesulfonyl)pent-1-ene	13
1-Phenylethyl trifluoromethanesulfinate	13
1-Iodonaphthalene-2-sulfonic acid	13
4-Fluoro-2-sulfobenzoic acid	13
2-(Trimethylsilyl)ethene-1-sulfonic acid	13
Methyl dichloromethanesulfinate	13
3-Phenylprop-1-en-2-yl trifluoromethanesulfonate	13
Benzenesulfonic acid--2,2,3,3-tetrafluoropropan-1-ol (1/1)	13
PUBCHEM_71372572	13
Bromo(methanesulfonyl)acetyl chloride	13
[2,2-Bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)ethenyl]benzene	13
3-[Bis(trifluoromethanesulfonyl)methyl]-1,2,4,5-tetrafluorobenzene	13
6-(Trifluoromethyl)pyridine-2-sulfonic acid	13
Cerium(3+) dihydrogen phosphate sulfate (1/1/1)	13
PUBCHEM_71357014	13
PUBCHEM_71349617	13
4-[(Benzenesulfonyl)carbonyl]benzene-1-sulfonic acid	13
2-[Bis(trifluoromethyl)amino]-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	13
Methanesulfonic acid--fluoromethanol (1/1)	13
PUBCHEM_71341500	13
PUBCHEM_71340868	13
PUBCHEM_71341782	13
But-2-ene-2-sulfinic acid	13
2,6-Dihydroxy-6-sulfohexa-2,4-dienoic acid	13
Fluoranthene-2-sulfonic acid	13
(~13~C)Methanesulfonyl chloride	13
4-(Trifluoromethanesulfonyl)benzene-1-sulfonyl chloride	13
2-Methyl-1-(trifluoromethanesulfonyl)propane	13
PUBCHEM_57377209	13
PUBCHEM_57375696	13
Zinc sulfate--aluminium (1/1/1)	13
2-(2,4,6-Trimethylphenyl)ethene-1-sulfonic acid	13
Chromium(3+) sodium sulfate--water (1/1/2/12)	13
Anthracene-1,7-disulfonic acid	13
Sodium dithionate--water (2/1/2)	13
4'-Formyl[1,1'-biphenyl]-4-sulfonic acid	13
2-Iodobenzene-1-sulfonic acid--water (1/2)	13
Europium(3+) sodium sulfate (1/1/2)	13
PUBCHEM_54602481	13
3-Hydroxyprop-1-ene-1-sulfonic acid	13
2-(2-Phenylethenyl)benzene-1-sulfonic acid	13
Sulfuric acid--(~15~N)ammonia (1/2)	13
4-[(Trifluoromethyl)sulfanyl]phenyl trifluoromethanesulfonate	13
(4-Methylphenyl)(phenyl)[(1E)-3,3,3-trifluoroprop-1-en-1-yl]sulfanium trifluoromethanesulfonate	13
4-[(Trifluoromethyl)sulfanyl]benzene-1-sulfonyl chloride	13
Sodium 2,3-dibromopropane-1-sulfonate	13
Phosphorodifluoridothioic O-acid	13
4'-Cyano[1,1'-biphenyl]-4-sulfonic acid	13
3-(4-Fluorophenyl)propane-1-sulfonic acid	13
2-Iodonaphthalene-1-sulfonic acid	13
Naphthalene-1,4,6-trisulfonic acid	13
PUBCHEM_22480701	13
Cyclobutanesulfonyl chloride	13
Sulfuriodidoite	13
Bismuth(3+) sulfite (2/3)	13
1,3-Bis(tribromomethanesulfonyl)benzene	13
(Dioxo-lambda~6~-sulfanylidene)acetaldehyde	13
1,1-Difluoromethanesulfonamide	13
Trifluoro(methanesulfinyl)methane	13
2,3-Diiodoanthracene-1-sulfonic acid	13
5-Formyl-2-methylbenzene-1-sulfonic acid	13
Naphthalene-1,4,5-trisulfonic acid	13
Dichloromethanesulfinyl chloride	13
3-Methylbutane-2-sulfonyl chloride	13
2-(Diiodomethanesulfonyl)-2-methylpropane	13
2-Chloronaphthalene-1-sulfonic acid	13
2,5-Dichlorobenzene-1-sulfonic acid--water (1/2)	13
Ethyl 1,1,3,3,3-pentafluoro-2-oxopropane-1-sulfonate	13
Calcium sulfate--phosphoric acid (1/1/1)	13
4-Boronobenzene-1-sulfonic acid	13
(Dioxo-lambda~6~-sulfanylidene)ethane	13
2,3,5,6-Tetrafluoro-4-sulfobenzoic acid	13
2-Methylbenzene-1,3,5-trisulfonic acid	13
Potassium sodium sulfite (1/1/1)	13
1-Chloro-1-hydroxypropane-1-sulfonic acid	13
Bis(dioxo-lambda~6~-sulfanylidene)methane	13
[2,2-Bis(trifluoromethanesulfonyl)ethenyl]benzene	13
2,3,5-Trimethylbenzene-1-sulfonic acid	13
2-Hydroxyethane-1,1-disulfonic acid	13
3-Formylbenzene-1,2-disulfonic acid	13
Sulfurobromidoite	13
(4-Ethylphenyl)methanesulfonic acid	13
(4-Bromophenyl)(diphenyl)sulfanium trifluoromethanesulfonate	13
(4-Chlorophenyl)(diphenyl)sulfanium trifluoromethanesulfonate	13
(4-Iodophenyl)(diphenyl)sulfanium trifluoromethanesulfonate	13
4-(Difluoromethanesulfonyl)benzene-1-sulfonyl chloride	13
PUBCHEM_15874544	13
3-(1,1,1,2,3,3,3-Heptafluoropropane-2-sulfonyl)benzoic acid	13
6-(4-Methylphenyl)naphthalene-2-sulfonic acid	13
2,2-Dimethylpropyl trifluoromethanesulfonate	13
4-(1,1,1,2,3,3,3-Heptafluoropropane-2-sulfonyl)benzoic acid	13
4-(1,1,2,2,3,3,3-Heptafluoropropane-1-sulfonyl)benzoic acid	13
3-(1,1,2,2,3,3,3-Heptafluoropropane-1-sulfonyl)benzoic acid	13
3-(Trifluoromethanesulfonyl)benzoic acid	13
4-Chloronaphthalene-1,6-disulfonic acid	13
3-(Heptadecafluorooctyl)benzene-1-sulfonyl chloride	13
Cyclohexyl trifluoromethanesulfonate	13
1-[Bis(trifluoromethanesulfonyl)methyl]naphthalene	13
3,5-Difluorobenzene-1-sulfonyl fluoride	13
{[(Benzenesulfonyl)(difluoro)methyl]sulfanyl}benzene	13
Naphthalene-1,4-disulfonic acid	13
Methyl 2,2,3,3-tetrafluoro-3-(methanesulfonyl)propanoate	13
Dimethyl(phenyl)silyl trifluoromethanesulfonate	13
2-Methylhex-2-en-4-yn-3-yl trifluoromethanesulfonate	13
Fluoromethanesulfonyl chloride	13
(2-Chlorophenyl)methanesulfonic acid	13
2,3,4,5-Tetramethylbenzene-1-sulfonic acid	13
Methyl dichloro(methanesulfonyl)methanesulfinate	13
4-Phenylbut-3-yn-1-yl trifluoromethanesulfonate	13
Difluoro[1,1,2,2-tetrafluoro-2-(fluorosulfonyl)ethoxy]acetyl chloride	13
4-Cyclopropylbut-3-yn-1-yl trifluoromethanesulfonate	13
3-Chlorophenyl trifluoromethanesulfonate	13
[2-(Trifluoromethanesulfonyl)ethyl]benzene	13
Naphthalene-1,3-disulfonic acid	13
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoro-4-iodobutoxy)ethane-1-sulfonyl fluoride	13
1-Chloro-4-[chloro(difluoro)methanesulfonyl]benzene	13
2,2-Bis(sulfomethyl)propane-1,3-disulfonic acid	13
2-Methylbenzene-1,3-disulfonic acid	13
[1,1'-Biphenyl]-2-sulfonic acid	13
(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)acetonitrile	13
Sulfene	13
1,3,6-Pyrenetrisulfonic acid	13
Benzenesulfonic acid, 3,4-dicyano-	13
1,3,7-Naphthalenetrisulfonic acid	13
Methanesulfonic acid, trifluoro-, 4-chlorobutyl ester	13
Perfluorohexanesulfonamide	13
Ethanesulfonyl chloride, 1,1,2,2-tetrafluoro-2-[(trifluoroethenyl)oxy]-	13
Hexane, 1-(ethenylsulfinyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	13
Ethanesulfonamide, 1,1,2,2,2-pentafluoro-	13
Methanesulfonic acid, trifluoro-, tris(pentafluorophenyl)silyl ester	13
[Hydroxy(methanesulfonyloxy)iodo]benzene	13
Methanesulfonic acid, trifluoro-, 1,3-cyclohexadien-1-yl ester	13
Methanesulfonic acid, trifluoro-, 3-pentynyl ester	13
4-(trifluoromethanesulfonyloxy)benzaldehyde	13
2-(Trifluoromethyl)phenyl trifluoromethanesulfonate	13
1-CHLORO-1-ETHENESULFONYL CHLORIDE	13
1-[Bis(trifluoromethanesulfonyl)methyl]-2,3,4,5,6-pentafluorobenzene	13
2,6-Anthracenedisulfonic acid	13
Ethanesulfonothioic acid	13
Bis(1,5-cyclooctadiene)rhodium(I) trifluoromethanesulfonate	13
2,7-Anthracenedisulfonic acid	13
Acetonitrile, [(trifluoromethyl)sulfonyl]-	13
3-Fluoranthenesulfonic acid	13
8-cyanonaphthalene-1-sulfonic acid	13
4-(Difluoromethanesulfonyl)benzoic acid	13
1,3,5,7-Naphthalenetetrasulfonic acid	13
4-(Trifluoromethanesulfonyl)benzonitrile	13
1h,1h-perfluorohexyl p-toluenesulfonate	13
1h,1h-nonafluoropentyl p-toluenesulfonate	13
2,2-Difluoroethyl p-toluenesulfonate	13
4-(Trifluoromethyl)benzenesulfonyl chloride	13
1H,1H,9H-Perfluorononyl p-toluenesulfonate	13
2,2,3,3,4,4,5,5-Octafluoropentyl 4-methylbenzene-1-sulfonate	13
2,2,3,3,3-Pentafluoropropyl 4-methylbenzene-1-sulfonate	13
4-trifluoromethylphenylmethylsulfone	13
3,3,3-Trifluoropropane-1-sulfonyl chloride	13
Benzenesulfonic acid, 3-benzoyl-	13
Pyridinium trifluoromethanesulfonate	13
3-(Trifluoromethyl)benzenesulfonyl chloride	13
1-chloro-4-[(1,1,2,2,3,3,3-heptafluoropropane)sulfonyl]benzene	13
2,2,3,3-tetrafluoropropyl p-toluenesulfonate	13
2,2,3,3,4,4,4-Heptafluorobutyl 4-methylbenzene-1-sulfonate	13
4-Trifluoromethanesulfonyl-benzoic acid	13
1-Chloro-4-(trifluoromethanesulfonyl)benzene	13
1-(dichloromethylsulfonylmethyl)-3-(trifluoromethyl)benzene	13
2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl 4-methylbenzenesulfonate	13
4-Chlorophenyl trifluoromethanesulfonate	13
Methanesulfonic acid, trifluoro-, 3-cyanophenyl ester	13
4-Cyanophenyl trifluoromethanesulfonate	13
(4-chlorophenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	13
2-Propenoic acid, 2-sulfo-	13
2-methylpropane-2-sulfinic acid	13
